,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),2 ,т,295000,,х/к н/с   AISI 304 (08Х18Н10)   BA+PI (зерк),0.4 ,т,314060
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),2.5 ,т,281810,,х/к н/с   AISI 304 (08Х18Н10)   BA+PI (зеркальный),0.8 ,т,281310
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД (продолжение),,,,,х/к н/с   AISI 316L   2B (матовый),1.5 ,т,495000
Марка,толщина,Ед.изм,Цена,,,,,
х/к н/с   AISI 304 (08Х18Н10)   BA+PI (зеркальный),1.5 ,т,277180,,х/к н/с   AISI 316L   2B (матовый),2 ,т,508590
,,,,,,,,
,,,,,х/к н/с   AISI 316L   2B (матовый),2.5 ,т,513250
х/к н/с   AISI 304 (08Х18Н10)   DECO1+PE,0.8 ,т,294150,,,,,
,,,,,х/к н/с   AISI 316L   2B (матовый),3 ,т,507740
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   DECO1+PE,1 ,т,300910,,х/к н/с   AISI 316L   2B (матовый),3 ,т,530000
,,,,,,,,
